time,local_date,sensor_id,pm10,pm25,no2,latitude,longitude
18,2023-10-07T18:00:00,4861,-1,-1,6.0,51.2642897846451,4.34127999246466
10,2023-10-08T10:00:00,4861,-1,-1,25.5,51.2642897846451,4.34127999246466
14,2023-10-08T14:00:00,4861,-1,-1,55.5,51.2642897846451,4.34127999246466
18,2023-10-08T18:00:00,4861,-1,-1,15.5,51.2642897846451,4.34127999246466
10,2023-10-09T10:00:00,4861,-1,-1,38.0,51.2642897846451,4.34127999246466
14,2023-10-09T14:00:00,4861,-1,-1,-1.0,51.2642897846451,4.34127999246466
18,2023-10-09T18:00:00,4861,-1,-1,48.5,51.2642897846451,4.34127999246466
10,2023-10-10T10:00:00,4861,-1,-1,43.5,51.2642897846451,4.34127999246466
14,2023-10-10T14:00:00,4861,-1,-1,57.5,51.2642897846451,4.34127999246466
18,2023-10-10T18:00:00,4861,-1,-1,19.5,51.2642897846451,4.34127999246466
10,2023-10-11T10:00:00,4861,-1,-1,18.5,51.2642897846451,4.34127999246466
14,2023-10-11T14:00:00,4861,-1,-1,22.0,51.2642897846451,4.34127999246466
18,2023-10-11T18:00:00,4861,-1,-1,16.5,51.2642897846451,4.34127999246466
10,2023-10-12T10:00:00,4861,-1,-1,11.5,51.2642897846451,4.34127999246466
14,2023-10-12T14:00:00,4861,-1,-1,26.0,51.2642897846451,4.34127999246466
18,2023-10-12T18:00:00,4861,-1,-1,18.0,51.2642897846451,4.34127999246466
10,2023-10-13T10:00:00,4861,-1,-1,15.0,51.2642897846451,4.34127999246466
14,2023-10-13T14:00:00,4861,-1,-1,12.5,51.2642897846451,4.34127999246466
18,2023-10-13T18:00:00,4861,-1,-1,23.5,51.2642897846451,4.34127999246466
10,2023-10-14T10:00:00,4861,-1,-1,10.0,51.2642897846451,4.34127999246466
14,2023-10-14T14:00:00,4861,-1,-1,25.0,51.2642897846451,4.34127999246466
18,2023-10-14T18:00:00,4861,-1,-1,23.5,51.2642897846451,4.34127999246466
10,2023-10-15T10:00:00,4861,-1,-1,25.0,51.2642897846451,4.34127999246466
14,2023-10-15T14:00:00,4861,-1,-1,29.5,51.2642897846451,4.34127999246466
18,2023-10-15T18:00:00,4861,-1,-1,-1.0,51.2642897846451,4.34127999246466
10,2023-10-16T10:00:00,4861,-1,-1,48.5,51.2642897846451,4.34127999246466
14,2023-10-16T14:00:00,4861,-1,-1,62.5,51.2642897846451,4.34127999246466
18,2023-10-16T18:00:00,4861,-1,-1,24.0,51.2642897846451,4.34127999246466
