,sensor_id,local_date,lat,lon,co,no2,o3,pm10,pm25,so2
36,3036,2023-11-18T00:00:00+00:00,50.75,6.0500001907,181.9164581299,6.3005309105,39.6038322449,22.5570697784,12.4839849472,0.9669065475
37,3036,2023-11-18T01:00:00+00:00,50.75,6.0500001907,169.4386749268,4.1390676498,40.537651062,20.5246105194,9.5463829041,0.728164196
38,3036,2023-11-18T02:00:00+00:00,50.75,6.0500001907,167.4367980957,3.7982492447,39.0808944702,19.9867763519,8.130402565,0.8553797603000001
39,3036,2023-11-18T03:00:00+00:00,50.75,6.0500001907,167.4591827393,4.0374269485,36.5916137695,19.5720996857,6.9768791198999995,0.9619043469
40,3036,2023-11-18T04:00:00+00:00,50.75,6.0500001907,166.2446289062,4.3338375092,37.1436920166,19.3479499817,6.3446378708,0.7926246524
41,3036,2023-11-18T05:00:00+00:00,50.75,6.0500001907,165.230758667,4.7300572395,41.8144798279,18.4860363007,5.4139509201,0.5811671019
42,3036,2023-11-18T06:00:00+00:00,50.75,6.0500001907,175.9580230713,6.4251761436,43.4908485413,18.4972839355,5.6871805191,0.7053131461000001
43,3036,2023-11-18T07:00:00+00:00,50.75,6.0500001907,186.3134613037,0.9992504716,49.2363777161,20.2849998474,6.1196274757,0.5989022851
44,3036,2023-11-18T08:00:00+00:00,50.75,6.0500001907,187.545425415,1.8096299171,53.5326881409,17.8676280975,4.8908452988,0.632098794
45,3036,2023-11-18T09:00:00+00:00,50.75,6.0500001907,178.2741851807,2.9951581955,54.3990440369,16.5950241089,3.9630916119,0.5887841582000001
46,3036,2023-11-18T10:00:00+00:00,50.75,6.0500001907,177.0009307861,4.020963192,56.2415466309,11.8755970001,3.9376816750000003,0.22248514
47,3036,2023-11-18T11:00:00+00:00,50.75,6.0500001907,173.1944122314,3.5617504120000003,62.1114883423,8.0329065323,3.4313292503,0.2087858766
48,3036,2023-11-18T12:00:00+00:00,50.75,6.0500001907,168.9194641113,2.2367613316,64.2753753662,3.8205230236,2.2907643318,0.2028741688
49,3036,2023-11-18T13:00:00+00:00,50.75,6.0500001907,169.665725708,2.193103075,66.2476730347,2.886244297,1.9878757,0.1901980788
50,3036,2023-11-18T14:00:00+00:00,50.75,6.0500001907,160.5768890381,1.8304545879,69.9575958252,2.1395618916,1.5304551124999999,0.1637090445
51,3036,2023-11-18T15:00:00+00:00,50.75,6.0500001907,158.816986084,1.9817527533,69.8319168091,1.8734060526,1.4452198744,0.15711520610000002
52,3036,2023-11-18T16:00:00+00:00,50.75,6.0500001907,155.217666626,2.3060522079,67.2803955078,1.6209965944,1.3444677591,0.14028956
53,3036,2023-11-18T17:00:00+00:00,50.75,6.0500001907,146.2998809814,2.6374778748,63.0159263611,1.6654442549000001,1.3979737759,0.160071075
54,3036,2023-11-18T18:00:00+00:00,50.75,6.0500001907,144.6329345703,3.0383090973,55.3229789734,1.9864739180000002,1.5592622757,0.2703472972
55,3036,2023-11-18T19:00:00+00:00,50.75,6.0500001907,146.8512573242,2.7294905186,57.616104126,2.3505344391,1.8189588785000002,0.1755324751
56,3036,2023-11-18T20:00:00+00:00,50.75,6.0500001907,146.7610321045,3.229537487,46.2583007812,4.5112771988,2.6053283215,0.2996785045
57,3036,2023-11-18T21:00:00+00:00,50.75,6.0500001907,155.4092254639,3.9328598976,43.4593887329,6.4431633949,3.7690429688,0.31855052710000004
58,3036,2023-11-18T22:00:00+00:00,50.75,6.0500001907,134.4946594238,2.6321241856,49.5455207825,5.9716534615,3.1464445591,0.3183231354
59,3036,2023-11-18T23:00:00+00:00,50.75,6.0500001907,121.4933319092,2.5099852085,48.4900588989,3.9233970642,1.8607497215,0.2031583786
60,3036,2023-11-19T00:00:00+00:00,50.75,6.0500001907,115.4361953735,2.6010625362,50.0669288635,3.0681827068,1.6406140327,0.1102762297
61,3036,2023-11-19T01:00:00+00:00,50.75,6.0500001907,112.4076156616,2.3632793427,48.6628494263,2.0983862877,1.4355270863,0.1058424488
62,3036,2023-11-19T02:00:00+00:00,50.75,6.0500001907,115.5010452271,1.8488534689,49.6331100464,4.4481291771,2.4783530235,0.1308535486
63,3036,2023-11-19T03:00:00+00:00,50.75,6.0500001907,119.9635467529,1.7685232162000002,48.1567573547,5.6488747597,3.2945055962,0.2048636824
64,3036,2023-11-19T04:00:00+00:00,50.75,6.0500001907,120.6679916382,1.8745141029,57.7897987366,7.4682321548,3.6184277534,0.1391526908
65,3036,2023-11-19T05:00:00+00:00,50.75,6.0500001907,119.7888793945,1.7172530890000002,64.6312332153,10.94394207,3.9288935661,0.0919726491
66,3036,2023-11-19T06:00:00+00:00,50.75,6.0500001907,134.6762390137,2.0490019321,64.4910812378,24.8410549164,5.7414770126,0.1947455555
67,3036,2023-11-19T07:00:00+00:00,50.75,6.0500001907,154.5665283203,1.7113602161,72.1426925659,29.7726421356,6.4394931793,0.1506350636
68,3036,2023-11-19T08:00:00+00:00,50.75,6.0500001907,160.792755127,1.5780656338,68.6235656738,33.4607315063,6.5877113342,0.2147544324
69,3036,2023-11-19T09:00:00+00:00,50.75,6.0500001907,151.5931549072,1.1489993334,70.7565383911,37.1455764771,6.0777535439,0.2543174624
70,3036,2023-11-19T10:00:00+00:00,50.75,6.0500001907,146.6379699707,1.1384602785,71.4462509155,39.4377784729,6.0861372948,0.2146975994
71,3036,2023-11-19T11:00:00+00:00,50.75,6.0500001907,146.0010986328,1.4631356001,74.0037536621,30.4100494385,5.4605135918,0.1617195308
72,3036,2023-11-19T12:00:00+00:00,50.75,6.0500001907,148.3547515869,1.7892794609,72.9323501587,23.490819931,5.0548858643,0.1642774791
73,3036,2023-11-19T13:00:00+00:00,50.75,6.0500001907,146.713394165,1.34113276,70.3481140137,26.7489452362,5.0911178589,0.21600499750000002
74,3036,2023-11-19T14:00:00+00:00,50.75,6.0500001907,148.2169189453,1.8432527781,72.1851272583,22.5329151154,5.0355701447,0.1060698181
75,3036,2023-11-19T15:00:00+00:00,50.75,6.0500001907,153.6510467529,2.2546160221,66.0679321289,26.5826454163,5.640707016,0.1880380362
76,3036,2023-11-19T16:00:00+00:00,50.75,6.0500001907,159.2333831787,2.5963406562999998,70.704498291,23.532207489,6.0355472565,0.0968611836
77,3036,2023-11-19T17:00:00+00:00,50.75,6.0500001907,159.2755279541,2.2905819416,68.4440841675,22.9790401459,6.5444259644,0.1398348063
78,3036,2023-11-19T18:00:00+00:00,50.75,6.0500001907,157.4520874023,2.0732851028,71.8831863403,20.1898727417,6.5931062698,0.12209966030000001
79,3036,2023-11-19T19:00:00+00:00,50.75,6.0500001907,155.1650238037,2.0327091217,74.056022644,16.1790142059,5.5751080513,0.0950421989
80,3036,2023-11-19T20:00:00+00:00,50.75,6.0500001907,153.2877655029,1.9179011583,72.8566589355,11.8274488449,4.5608897209,0.07298695300000001
81,3036,2023-11-19T21:00:00+00:00,50.75,6.0500001907,152.9223175049,1.7083566189,72.7547454834,9.4358797073,3.8453364372000003,0.0718500838
