time_x,local_date,sensor_id,pm10_x,pm25_x,no2_x,o3,so2,co_conc,nmvoc,no,time_y,pm10_y,pm25_y,no2_y,latitude,longitude
19,2023-10-29 19:00:00,3036,5.0470185,2.140297,2.2999558,63.657764,0.7745342,156.02594,4.4729743,0.02910383,19,4.073,1.794,23.644,50.773131,6.095775
20,2023-10-29 20:00:00,3036,5.627379,2.1316438,2.3086305,62.047535,0.8184356,156.87965,4.4941616,0.027057467,20,4.708,2.072,17.282,50.773131,6.095775
6,2023-10-30 06:00:00,3036,10.921704,3.0512984,3.3175,50.917313,0.68249404,165.66783,7.969202,0.09676171,6,8.285,3.636,5.504,50.773131,6.095775
7,2023-10-30 07:00:00,3036,8.476647,2.7743287,3.8586142,51.099323,0.6417939,169.6019,8.622224,0.12090595,7,8.767,3.756,10.512,50.773131,6.095775
8,2023-10-30 08:00:00,3036,7.40798,2.870857,7.0510907,49.594482,0.6743219,168.40588,9.607461,0.3232188,8,9.334,4.133,23.005,50.773131,6.095775
9,2023-10-30 09:00:00,3036,4.8445396,2.208722,6.3782077,56.36143,0.61945117,161.4961,10.009902,0.6105481,9,17.546,6.099,56.467,50.773131,6.095775
10,2023-10-30 10:00:00,3036,4.0457773,2.8815262,6.2124405,57.661186,0.5952359,154.92433,10.370439,0.6584386,10,31.702,7.652,60.931,50.773131,6.095775
11,2023-10-30 11:00:00,3036,3.6879551,2.6579802,6.3996453,56.819004,0.33354297,153.94829,11.025592,0.71976584,11,33.334,5.203,-1.0,50.773131,6.095775
12,2023-10-30 12:00:00,3036,3.0136943,1.4291226,6.2370615,56.558544,0.46779293,155.04326,11.950176,0.79683775,12,23.996,3.935,49.296,50.773131,6.095775
13,2023-10-30 13:00:00,3036,2.9660766,2.0569844,6.719683,56.415867,0.6016946,165.27332,13.185878,0.8539299,13,40.956,5.285,44.936,50.773131,6.095775
14,2023-10-30 14:00:00,3036,3.2635772,2.0485525,7.6290154,53.561417,0.5704095,176.82776,15.646174,0.68060046,14,22.888,3.295,36.663,50.773131,6.095775
15,2023-10-30 15:00:00,3036,4.5804853,2.290035,9.663954,48.027588,0.4888534,186.64886,19.10179,0.52998674,15,56.521,7.559,42.495,50.773131,6.095775
16,2023-10-30 16:00:00,3036,3.2401638,2.1876135,12.003363,44.3556,0.33745497,196.57806,22.895908,0.5059491,16,42.282,5.975,53.285,50.773131,6.095775
17,2023-10-30 17:00:00,3036,3.470879,2.245075,11.987673,37.260174,0.43064573,216.58879,27.621145,0.3563372,17,17.841,3.892,62.753,50.773131,6.095775
18,2023-10-30 18:00:00,3036,4.2005496,1.6406834,12.471236,36.098022,0.52528685,199.23645,22.267221,0.24904522,18,6.162,3.53,48.667,50.773131,6.095775
19,2023-10-30 19:00:00,3036,5.7723317,3.0388715,10.677825,39.697746,0.61084294,179.6267,17.59824,0.13586287,19,5.113,3.099,34.537,50.773131,6.095775
20,2023-10-30 20:00:00,3036,4.25423,2.16783,7.9994526,43.01713,0.7318724,164.36418,12.849272,0.096463285,20,6.649,4.494,58.932,50.773131,6.095775
6,2023-10-31 06:00:00,3036,4.4401016,2.7943988,4.7832637,53.538975,1.4026718,178.73236,11.633162,0.087027274,6,3.617,1.965,4.803,50.773131,6.095775
7,2023-10-31 07:00:00,3036,3.9269872,2.5780597,6.819609,51.74221,1.5716096,183.9563,12.179303,0.15484147,7,3.719,2.375,7.221,50.773131,6.095775
8,2023-10-31 08:00:00,3036,5.344084,3.141377,9.002832,49.74009,1.7678753,191.5775,11.227207,0.38654235,8,4.714,3.173,14.565,50.773131,6.095775
9,2023-10-31 09:00:00,3036,5.118214,2.8303266,7.7943645,49.61174,1.7626054,183.61378,11.18148,0.8471019,9,6.675,4.317,30.03,50.773131,6.095775
10,2023-10-31 10:00:00,3036,6.1405234,3.2574475,6.7014203,52.941174,1.3316637,181.373,11.488563,0.86272734,10,11.094,5.436,44.42,50.773131,6.095775
11,2023-10-31 11:00:00,3036,6.346669,2.5790718,5.6669807,56.317093,1.0649788,180.73302,11.461127,0.8604533,11,9.083,4.099,32.607,50.773131,6.095775
12,2023-10-31 12:00:00,3036,6.820143,2.0118773,4.9977126,58.643364,1.0491092,173.07706,10.8150835,0.7905174,12,10.941,3.586,33.849,50.773131,6.095775
13,2023-10-31 13:00:00,3036,6.5877743,2.0122733,4.2897606,58.289055,1.0024769,176.5537,11.29981,1.1205404,13,11.834,3.779,29.034,50.773131,6.095775
14,2023-10-31 14:00:00,3036,7.858457,2.5449245,4.502505,54.125603,0.63869977,183.68018,12.095066,0.9382788,14,12.2,3.952,28.59,50.773131,6.095775
15,2023-10-31 15:00:00,3036,7.6274505,2.6255937,6.0932164,48.965717,0.8542292,191.08191,14.301209,0.8109069,15,15.013,4.262,34.315,50.773131,6.095775
16,2023-10-31 16:00:00,3036,4.1952868,2.2220454,7.7258005,42.00242,0.85699314,191.16014,14.9694,0.3453522,16,12.177,4.278,34.444,50.773131,6.095775
17,2023-10-31 17:00:00,3036,6.4877,2.9940867,7.976616,40.8334,1.047042,193.59981,14.9392805,0.24191138,17,8.507,3.787,35.584,50.773131,6.095775
18,2023-10-31 18:00:00,3036,6.562643,2.7723396,8.114727,43.24857,1.0373999,192.32791,14.074132,0.13152146,18,5.803,3.107,37.307,50.773131,6.095775
19,2023-10-31 19:00:00,3036,6.0826077,2.3840234,7.4840374,46.025677,1.078698,190.40274,14.328031,0.08930101,19,4.518,2.418,34.524,50.773131,6.095775
20,2023-10-31 20:00:00,3036,8.241239,2.3016784,6.4916663,44.98482,1.1074536,189.51154,13.932729,0.06090772,20,4.288,2.685,31.789,50.773131,6.095775
6,2023-10-02 06:00:00,4463,16.654676,10.525951,9.220458,45.708733,1.1886101,257.0155,22.183256,0.094587445,6,11.771,7.488,2.5,49.719281,5.630398
7,2023-10-02 07:00:00,4463,17.392506,11.434608,11.652702,43.085274,1.0348912,273.70474,23.05952,0.69849193,7,11.771,7.488,2.0,49.719281,5.630398
8,2023-10-02 08:00:00,4463,14.944245,10.385181,11.65271,44.64527,1.119247,272.16306,25.155184,2.242146,8,12.271,7.488,2.5,49.719281,5.630398
9,2023-10-02 09:00:00,4463,15.343403,9.89704,9.719235,59.379086,1.0812755,273.26395,27.837086,3.1281197,9,14.271,7.9715,5.5,49.719281,5.630398
10,2023-10-02 10:00:00,4463,13.947601,9.199736,8.657235,66.56357,1.1902018,267.0288,25.304134,1.8352007,10,17.771,10.8725,10.0,49.719281,5.630398
11,2023-10-02 11:00:00,4463,13.910706,8.65237,6.0205345,74.567825,1.252559,270.3668,23.047136,1.0866038,11,18.271,11.8395,12.0,49.719281,5.630398
